,mobilenames,prices,battery_capacity,processor
0,"POCO C31 (Royal Blue, 64 GB)","₹7,499",5000 mAh Lithium-ion Polymer Battery,MediaTek G35 Processor
1,"POCO C31 (Royal Blue, 32 GB)","₹6,499",5000 mAh Lithium-ion Polymer Battery,MediaTek Helio G35 Processor
2,"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹15,990",6000 mAh Battery,"Exynos 1330, Octa Core Processor"
3,Cellecor E3,"₹1,176",1000 mAh Battery,1 Year Manufacturer Warranty
4,"realme C30 (Bamboo Green, 32 GB)","₹5,999",5000 mAh Lithium Ion Battery,Unisoc T612 Processor
5,"realme C30 (Lake Blue, 32 GB)","₹5,999",5000 mAh Lithium Ion Battery,Unisoc T612 Processor
6,"realme C30 (Denim Black, 32 GB)","₹5,999",5000 mAh Lithium Ion Battery,Unisoc T612 Processor
7,"realme C30 (Denim Black, 32 GB)","₹6,999",5000 mAh Lithium Ion Battery,Unisoc T612 Processor
8,"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹15,990",6000 mAh Battery,"Exynos 1330, Octa Core Processor"
9,"realme C30 (Bamboo Green, 32 GB)","₹6,999",5000 mAh Lithium Ion Battery,Unisoc T612 Processor
10,"realme C30 (Lake Blue, 32 GB)","₹6,999",5000 mAh Lithium Ion Battery,Unisoc T612 Processor
11,"POCO C31 (Shadow Gray, 64 GB)","₹7,499",5000 mAh Lithium-ion Polymer Battery,MediaTek Helio G35 Processor
12,"POCO M4 5G (Power Black, 64 GB)","₹12,999",5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor
13,"POCO C55 (Cool Blue, 64 GB)","₹8,499",5000 mAh Battery,Mediatek Helio G85 Processor
14,"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹14,490",6000 mAh Battery,"Exynos 1330, Octa Core Processor"
15,"POCO C31 (Shadow Gray, 32 GB)","₹6,499",5000 mAh Lithium-ion Polymer Battery,MediaTek Helio G35 Processor
16,"POCO M4 5G (Cool Blue, 64 GB)","₹12,999",5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor
17,"POCO C55 (Cool Blue, 128 GB)","₹9,999",5000 mAh Battery,Mediatek Helio G85 Processor
18,"POCO C55 (Power Black, 64 GB)","₹8,499",5000 mAh Battery,Mediatek Helio G85 Processor
19,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹10,999",6000 mAh Lithium Ion Battery,Exynos 850 Processor
20,"MOTOROLA e13 (Aurora Green, 64 GB)","₹7,749",5000 mAh Battery,Unisoc T606 Processor
21,"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)","₹9,249",5000 mAh Lithium-Ion Battery,Mediatek Helio P35 Processor
22,"Infinix SMART 7 (Night Black, 64 GB)","₹7,499",6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor
23,"Infinix SMART 7 (Emerald Green, 64 GB)","₹7,499",6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor
